Date,USA_GDPP,CHN_GDPP,JPN_GDPP,DEU_GDPP,IND_GDPP,GBR_GDPP,BRA_GDPP,RUS_GDPP,ZAF_GDPP,KOR_GDPP,BGD_GDPP,SGP_GDPP,HKG_GDPP,IDN_GDPP,VNM_GDPP
1960-12-31,2999.86487154495,89.5202142368479,508.702779291773,1157.88046394509,83.0351018240893,1397.5948032844,nan,nan,529.561922745367,158.274135881229,84.8253371946916,428.056183371291,424.056554189694,nan,nan
1961-12-31,3059.16082086127,75.8055607913604,608.864581144951,1311.10429752935,85.9697041851008,1472.38571407868,nan,nan,543.042223674713,93.8313831944754,92.8551129373993,449.148136820776,436.754411520393,nan,nan
1962-12-31,3236.01311150062,70.9091524330558,684.565509797705,1425.29899158165,90.2768689288905,1525.77585271032,nan,nan,560.699394468497,106.159702780685,95.0478052237596,472.082740153988,487.821134050813,nan,nan
1963-12-31,3366.36978960346,74.3133717692149,775.592123080162,1496.6710747788,101.31516498136,1613.45688373392,nan,nan,601.59995091078,146.302492590131,96.5522100227946,511.202235371449,565.727810358046,nan,nan
1964-12-31,3565.31443016356,85.4982425898924,902.867721515126,1631.47787275015,115.487608356699,1748.2881176141,nan,nan,642.688430727524,123.606374492665,94.8675576834292,485.530686047381,629.591525784494,nan,nan
1965-12-31,3818.28825117968,98.4864176995115,993.732722209078,1767.72216809939,119.084976676524,1873.56777435421,nan,nan,681.13111132363,108.723112442051,100.967875859392,516.531928636745,676.805507110096,nan,nan
1966-12-31,4136.30829579106,104.32418478637,1143.60789652395,1863.97622810147,89.2013484885067,1986.74715869685,nan,nan,718.118179105876,133.479834432364,106.85572352998,566.803974405961,685.926614135084,nan,nan
1967-12-31,4325.95935063186,96.5891788251155,1326.36103912253,1878.73272688742,96.0463298450023,2058.78188198056,nan,nan,775.152812003371,161.159443282246,116.796320541279,626.029437593984,723.239225616661,53.3381957238127,nan
1968-12-31,4684.58840293763,91.4723838962347,1553.27139379996,2017.68925112265,99.5168361228774,1951.75859587532,nan,nan,813.508496698077,198.434884397043,116.940534816855,708.601436896422,714.48296958061,64.8391799472623,nan
1969-12-31,5019.99818634473,100.129537206454,1802.98028061972,2272.94842846548,107.182143141928,2100.66786858672,nan,nan,887.246702285698,243.426137656633,128.60792611519,812.677487316618,825.523449142012,74.3422145957489,nan
1970-12-31,5234.2966662115,113.162577847967,2100.74807036009,2761.16683289339,111.968318177372,2347.54431773747,nan,nan,948.591793792672,279.308746302217,133.142945229324,925.797864348214,960.031961510704,79.4134554327543,nan
1971-12-31,5609.38259952519,118.654144002222,2321.39092521418,3192.13361563743,118.160528911908,2649.80151387223,nan,nan,1016.48336455713,301.178736655376,127.995452738207,1071.41154035538,1106.46971695915,78.8657568258469,nan
1972-12-31,6094.01798986165,131.885558530844,3031.43860570759,3809.98144489456,122.615038788811,3030.43251411977,nan,nan,1034.49213981645,324.192811178745,90.6783655642567,1264.37510720987,1384.7342645141,90.5120591683994,nan
1973-12-31,6726.35895596695,157.089110889702,4061.0133895326,5046.75510305815,143.460157121616,3426.27622050378,nan,nan,1364.20606063635,406.897093528455,113.665702670582,1685.45979632163,1893.18124189464,130.489743672414,nan
1974-12-31,7225.69135952566,160.147687922555,4448.31965623627,5639.07762129679,163.232761704578,3665.8627976419,nan,nan,1650.48290014247,563.352475775669,171.526205300576,2341.70551423633,2144.61495884823,201.667670574784,nan
1975-12-31,7801.45666356443,178.339614096146,4775.89953559305,6236.3588812986,157.931045846552,4299.74561799284,nan,nan,1664.48000596246,617.456061933567,260.351516093487,2489.91157517591,2252.12694057369,232.170634807529,nan
1976-12-31,8592.25353727612,165.404262395736,5310.43140904992,6634.85689909309,161.136118369411,4138.16778761535,nan,nan,1554.00279783896,834.134207951691,132.457485424647,2758.94038028476,2850.0146101832,277.050792814774,nan
1977-12-31,9452.57651914511,185.420537363904,6472.7877874079,7682.95377492882,186.419089544981,4681.43993173038,nan,nan,1666.49563619103,1055.8800411599,123.514493421219,2846.33598832854,3429.42027607254,332.282053882835,nan
1978-12-31,10564.9482220275,156.396388520044,9012.13603523182,9482.04284964716,206.076787850271,5976.93816899991,nan,nan,1846.85220100289,1405.82237444554,166.006422429598,3193.90565722355,3923.9713784987,364.285790473086,nan
1979-12-31,11674.1818666548,183.983152215978,9301.14831026293,11281.0233245081,224.580999112198,7804.76208051155,nan,nan,2196.69747134361,1783.62231287847,190.035791699715,3900.53355310873,4569.4838495588,355.235950857064,nan
1980-12-31,12574.7915062163,194.804722186836,9668.74626395709,12138.3081034267,267.395219989594,10032.062080015,nan,nan,3034.66036635394,1715.42239973641,216.109852036488,4928.13911785754,5700.43210891578,489.160196508669,nan
1981-12-31,13976.10539252,197.071474499102,10583.1278908402,10209.0731153846,271.426149209154,9599.30622221965,nan,nan,3080.83301853785,1883.45598002963,235.038390676618,5596.58597723068,5991.28488804536,563.783364476972,nan
